id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,ingested_at,popularity_category
1511549,Still Sexy,2026-06-12 00:00:00 UTC,9.1757,5.667,9,[35],"Maddalena has it all: a job she loves, the perfect fiancé, and a dream wedding ahead. Yet in the bedroom, something feels wrong. Urged on by her inner voice, embodied by pornstar Valentina Nappi, she begins to question her life. Meeting Bruno, a gardener with a troubled past, leads her to rediscover herself and realize the only path worth following is her own.",2026-06-14T21:38:55.836513,Low
1530510,Mexico 86,2026-05-21 00:00:00 UTC,48.742,7.44,67,"[35, 36, 18]","When a last-minute chance to host the 1986 World Cup appears, a cunning Mexican bureaucrat, armed with nothing but guts and audacity, cons his way through FIFA to beat the United States, but in a country of power games, every victory has a price.",2026-06-14T21:38:55.836513,Low
1536559,Double Happiness,2026-02-17 00:00:00 UTC,8.3068,7.4,7,[18],"Tim Kao, the meticulous head chef of a five-star hotel in Taiwan, is set to marry his Hong Kong fiance Daisy Wu. But Tim’s divorced parents refuse to attend the same ceremony, and each insists on hosting their own. To complicate things further, the Feng Shui master chooses the same auspicious date for both events. Tim, Daisy, their wedding planner Regina, and the best man Tsai must orchestrate two weddings simultaneously in the same hotel, without either parent finding out. Surrounded by a strict father, a demanding mother, and a cast of sharp-tongued relatives, Tim must confront the traumas of his upbringing and ask himself: is he truly ready to start a new family of his own?",2026-06-14T21:38:55.836513,Low
1553969,Sheep in the Box,2026-05-29 00:00:00 UTC,3.5829,4.7,3,"[18, 878]","Set in the near future, Otone Komoto works as an architect. She is married to Kensuke Komoto, who runs a construction company. The married couple decide to welcome a humanoid robot into their home as their son.",2026-06-14T21:38:55.836513,Low
1556616,Summer House,2026-06-06 00:00:00 UTC,34.485,8.214,7,"[10749, 10751, 18, 9648]","Selin travels back in time at a summer house and finds herself in her mother's youth, changing her family's fate and rebuilding her own life.",2026-06-14T21:38:55.836513,Low
1566170,Monsters,2025-10-23 00:00:00 UTC,1.0531,6,3,"[53, 80]","A small town somewhere in the north. The body of a brutally murdered young girl, Anna, is found by the river. The investigation is taken up by the determined criminalist Laura Linhartová (Kristýna Ryška), and her old colleague Adam Beneš (Kryštof Hádek) is assigned to her. The main suspect is a recently convicted perpetrator who is responsible for a similar murder. Just when it seems that the search for Anna's murderer is over, new evidence appears that brings the whole case back to the beginning. The criminalists thus embark on a complicated investigation full of unexpected twists and turns. The circle of suspects in the small town expands dramatically. The tension between Laura and Adam rises, not to mention their different characters and shared past. And the question still hangs in the air: Who killed Anna Pittnerová?",2026-06-14T21:38:55.836513,Low
1584215,The Internship,2026-01-13 00:00:00 UTC,15.0947,6.3,78,[28],"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",2026-06-14T21:38:55.836513,Low
1606362,Divine Punishment,2026-02-13 00:00:00 UTC,0.9106,6.5,2,"[35, 14]","At 35, Pedro is completely antisocial, ruthless, and close to being a psychopath. He works as a nurse in a hospital, making life miserable for his coworkers, dealing drugs, and running illegal poker games. One day, a mysterious patient he always argues with dies beside him and leaves him a magical book that turns him into a kind of angel with supernatural powers. At first, he uses his powers for his own benefit, but he starts to realize that helping others isn’t so bad after all.",2026-06-14T21:38:55.836513,Low
1640222,Runners,2026-06-11 00:00:00 UTC,2.9037,10,1,"[53, 80, 18]","Ben is sent on a delivery job for his father, when his brother Harry unexpectedly joins him. As suspicion grows and tension rises, only one question comes to mind: what’s in the boot?",2026-06-14T21:38:55.836513,Low
1699155,Maternal Instinct,2026-06-11 00:00:00 UTC,20.794,7.3,10,"[99, 80]",Police pull over a woman who claims she just gave birth. But the baby — and the blood — aren't hers. Twisted lies unravel in this true-crime documentary.,2026-06-14T21:38:55.836513,Low
1700944,"Love, Ngo",2026-06-03 00:00:00 UTC,5.7333,9,1,[35],"“Love, Ngo” follows Ngongo, a hardworking young man who volunteers at a cleft lip and palate foundation while helping at his mother’s burger stand. The film explores his struggles with love, family and self-acceptance after falling for a woman whose family disapproves of his condition and social status.",2026-06-14T21:38:55.836513,Low
1084242,Zootopia 2,2025-11-26 00:00:00 UTC,76.7917,7.7,2940,"[16, 12, 35, 9648, 10751]","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",2026-06-14T21:38:55.836513,Medium
1084244,Toy Story 5,2026-06-17 00:00:00 UTC,78.17,6.4,9,"[16, 10751, 35, 12]","When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",2026-06-14T21:38:55.836513,Medium
1116201,Iron Lung,2026-01-30 00:00:00 UTC,51.161,7.035,255,"[27, 9648, 878]","In a post-apocalyptic future where an event known as ""The Quiet Rapture"" caused all known stars and habitable planets in the universe to disappear, a convict is sent to search an ocean of blood discovered on a desolate moon, using a small submarine nicknamed the ""Iron Lung"".",2026-06-14T21:38:55.836513,Medium
1159559,Scream 7,2026-02-25 00:00:00 UTC,57.5382,6.168,1030,"[27, 9648, 80]","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",2026-06-14T21:38:55.836513,Medium
1274706,The Marked Woman,2026-06-05 00:00:00 UTC,56.4816,5.396,53,"[53, 80]","When a woman is found in a shipping container with no memory of who she is, two detectives race to figure out her identity — and who wants her dead.",2026-06-14T21:38:55.836513,Medium
1290821,Shelter,2026-01-28 00:00:00 UTC,88.4537,7.648,1221,"[28, 80, 53]","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",2026-06-14T21:38:55.836513,Medium
1297842,GOAT,2026-02-11 00:00:00 UTC,79.4187,8.152,788,"[16, 35, 10751]","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",2026-06-14T21:38:55.836513,Medium
1305781,Blades of the Guardians,2026-02-17 00:00:00 UTC,58.5532,7.1,50,"[28, 18, 36]","Dao Ma, the ""second most wanted fugitive,"" is entrusted by his benefactor, the chief of Mo family clan, to take on a mysterious escort mission-escorting the ""most wanted fugitive"" to Chang'an.",2026-06-14T21:38:55.836513,Medium
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18 00:00:00 UTC,99.3703,7.726,861,"[16, 28, 14]","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2026-06-14T21:38:55.836513,Medium
1318447,Apex,2026-04-24 00:00:00 UTC,77.5712,6.806,1445,"[28, 53]",A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,2026-06-14T21:38:55.836513,Medium
1325734,The Drama,2026-03-26 00:00:00 UTC,58.484,6.952,1025,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,2026-06-14T21:38:55.836513,Medium
1364953,Mārama,2026-04-17 00:00:00 UTC,53.3454,6.4,9,"[27, 18, 9648]","1859. When a young Māori woman is summoned from New Zealand to North Yorkshire, she uncovers her horrific colonial heritage and is compelled to confront and destroy the titled Englishman who devastated her family.",2026-06-14T21:38:55.836513,Medium
1368166,The Housemaid,2025-12-18 00:00:00 UTC,54.385,7.259,2416,"[9648, 53]","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",2026-06-14T21:38:55.836513,Medium
1560681,Colors of Evil: Black,2026-06-10 00:00:00 UTC,92.5234,6.439,33,"[53, 9648, 80]","Investigating the disappearance of children in a remote Polish town, prosecutor Leopold Bilski must unravel a sinister local legend before it's too late.",2026-06-14T21:38:55.836513,Medium
1667198,The Amazing Digital Circus: The Last Act,2026-06-03 00:00:00 UTC,53.5119,8.1,45,"[16, 878, 18, 53]","With Caine gone and the circus dark, the cast are left with only the mistakes and traumas of their pasts to keep them company. As the prospect of eternity closes in around them, they discover the truth about the Digital Circus and its history. Will they come to terms with what they uncover, or will they make… the other choice? Also, presumably at some point someone says something funny, because this ending can’t be THAT depressing, can it? A theatrical screening of episode 8 and the all new, hour-long episode 9.",2026-06-14T21:38:55.836513,Medium
